,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
119,norman wells,35.2226,-97.4395,63,64.99,1,4.61,US,1619840558
120,tarakan,3.3,117.6333,94,78.8,75,3.44,ID,1619840558
121,nanortalik,60.1432,-45.2371,71,36.43,77,11.3,GL,1619840457
122,sept-iles,50.2001,-66.3821,87,42.01,100,3.2,CA,1619840509
123,paracuru,-3.41,-39.0306,84,73.99,82,1.01,BR,1619840544
124,omsukchan,62.5333,155.8,88,30.06,100,2.53,RU,1619840559
125,karratha,-20.7377,116.8463,26,91.85,0,12.8,AU,1619840559
126,san cristobal,13.3034,-4.8956,37,88.3,89,12.21,ML,1619840384
127,aklavik,68.2191,-135.0107,64,33.8,100,5.75,CA,1619840560
128,pipri,19.8,75.5333,24,89.51,100,5.03,IN,1619840560
129,antofagasta,-23.65,-70.4,88,59.0,0,10.36,CL,1619840560
130,robertsport,6.7533,-11.3686,78,81.84,100,5.32,LR,1619840561
131,byron bay,44.0327,-92.6455,32,52.0,1,5.75,US,1619840561
132,laksham,23.2472,91.1425,38,96.8,2,9.57,BD,1619840561
133,kahului,20.8947,-156.47,65,80.6,40,19.57,US,1619840492
134,lavrentiya,65.5833,-171.0,80,23.79,70,1.92,RU,1619840562
135,acapulco,16.8634,-99.8901,78,78.91,3,3.15,MX,1619840362
136,kirkenes,69.7271,30.0458,100,21.2,90,6.91,NO,1619840562
137,aguilas,37.4063,-1.5829,61,59.0,100,11.99,ES,1619840563
138,lebu,-37.6167,-73.65,95,55.76,100,17.07,CL,1619840563
139,anyama,5.4946,-4.0518,94,80.6,20,2.3,CI,1619840563
140,severo-kurilsk,50.6789,156.125,96,35.44,100,21.59,RU,1619840564
141,broome,42.2506,-75.833,100,37.0,90,14.97,US,1619840564
142,carmaux,44.051,2.158,97,53.01,100,3.0,FR,1619840564
143,loiza,18.4313,-65.8802,83,77.0,40,4.61,PR,1619840564
144,arraial do cabo,-22.8362,-46.646,82,63.0,0,14.97,BR,1619840565
145,edd,13.9297,41.6925,62,85.21,60,5.66,ER,1619840565
146,bambous virieux,-20.2567,57.4061,78,78.01,40,10.36,MU,1619840566
147,east london,65.0,-15.0,93,30.2,75,9.22,IS,1619840566
148,buta,2.7858,24.73,99,69.22,100,2.59,CD,1619840566
149,victoria,22.2855,114.1577,61,82.0,97,8.01,HK,1619840440
150,bluff,-46.6,168.3333,73,55.99,50,4.0,NZ,1619840567
151,kutum,14.2,24.6667,17,70.9,81,2.77,SD,1619840567
152,puerto baquerizo moreno,36.5939,-6.233,62,55.4,20,8.05,ES,1619840567
153,half moon bay,6.3807,-10.6953,94,75.2,40,5.35,LR,1619840568
154,rebrikha,53.0733,82.3408,36,54.77,93,12.03,RU,1619840568
155,nabire,-3.3667,135.4833,62,87.44,68,6.29,ID,1619840568
156,cidreira,-30.1811,-50.2056,75,67.89,0,17.36,BR,1619840569
157,ratnagiri,16.9833,73.3,54,89.28,42,2.95,IN,1619840569
158,ulaanbaatar,47.9077,106.8832,22,51.8,75,22.37,MN,1619840569
159,larsnes,62.2028,5.5773,76,39.0,17,1.01,NO,1619840570
160,tessalit,20.1986,1.0114,34,78.22,86,16.73,ML,1619840570
161,grand river south east,38.8755,-109.5012,19,69.8,1,3.31,US,1619840537
162,chicama,-7.8447,-79.1469,79,69.42,50,6.6,PE,1619840570
163,portel,-1.9356,-50.8211,92,74.25,95,3.04,BR,1619840571
164,vestmannaeyjar,63.4427,-20.2734,78,37.94,92,18.66,IS,1619840421
165,matara,5.9485,80.5353,69,85.64,18,2.01,LK,1619840571
166,bambanglipuro,-7.95,110.2833,64,86.94,66,7.61,ID,1619840571
167,sabha,27.0377,14.4283,8,77.07,0,8.93,LY,1619840491
168,atuona,-9.8,-139.0333,68,79.43,4,1.86,PF,1619840572
169,cockburn town,-32.0833,141.0,31,77.0,100,17.27,AU,1619840572
170,barrow,71.2906,-156.7887,79,21.2,90,1.95,US,1619840573
171,port-gentil,-0.7193,8.7815,80,81.41,100,5.44,GA,1619840470
172,gillette,44.2911,-105.5022,58,66.99,1,8.05,US,1619840573
173,faya,18.3851,42.4509,55,60.8,20,5.3,SA,1619840573
174,kupang,-10.1667,123.5833,59,86.59,3,5.12,ID,1619840574
175,araxa,-19.5933,-46.9406,68,66.2,0,14.97,BR,1619840574
176,ossora,59.2353,163.0719,90,33.28,62,5.28,RU,1619840574
177,cayenne,4.9333,-52.3333,94,77.0,90,6.17,GF,1619840311
178,araouane,18.9048,-3.5265,45,78.58,96,23.44,ML,1619840292
179,bilibino,68.0546,166.4372,70,20.8,83,2.62,RU,1619840575
180,cherskiy,68.75,161.3,82,22.14,81,3.44,RU,1619840575
181,ibra,22.6906,58.5334,31,81.99,4,3.47,OM,1619840576
182,oranjemund,-28.55,16.4333,68,56.28,0,9.82,NA,1619840576
183,avera,33.194,-82.5271,55,66.2,1,9.22,US,1619840327
184,karwar,14.8,74.1333,59,87.62,6,0.38,IN,1619840576
185,zyryanka,65.75,150.85,74,37.83,100,6.02,RU,1619840577
186,campbell river,38.9501,-84.3833,57,48.2,1,4.61,US,1619840577
187,luxor,25.6989,32.6421,14,78.8,0,2.3,EG,1619840577
188,padang,-0.9492,100.3543,74,86.0,20,4.61,ID,1619840578
189,kamenica,50.8333,12.9167,93,44.01,100,1.19,DE,1619840578
190,beringovskiy,63.05,179.3167,81,23.86,91,10.2,RU,1619840579
191,dawei,14.0833,98.2,62,87.8,66,4.43,MM,1619840579
192,fowa,8.9167,6.4,68,79.68,92,2.59,NG,1619840579
193,jacareacanga,-6.2222,-57.7528,97,72.95,100,1.25,BR,1619840580
194,constitucion,-35.3333,-72.4167,84,55.18,100,11.25,CL,1619840580
195,tevriz,57.509,72.4042,63,39.07,81,13.94,RU,1619840580
196,dracena,-21.4843,-51.535,66,63.07,100,8.08,BR,1619840581
197,okha,53.5739,142.9478,82,35.08,100,10.74,RU,1619840535
198,marmarion,38.0484,24.3204,82,64.99,20,2.3,GR,1619840581
199,kailaras,26.3167,77.6167,14,98.85,25,7.87,IN,1619840582
200,new norfolk,6.6518,-10.5932,94,75.2,40,2.06,LR,1619840582
201,saint-philippe,-21.3585,55.7679,73,75.2,0,15.12,RE,1619840582
202,nisia floresta,39.3942,21.6373,66,53.01,100,3.76,GR,1619840583
203,alofi,-19.0595,-169.9187,94,77.0,100,2.3,NU,1619840583
204,mabaruma,8.2,-59.7833,97,72.52,40,1.95,GY,1619840583
205,carmen,18.6333,-91.8333,81,82.04,0,15.5,MX,1619840584
206,charters towers,38.5736,-83.4333,46,48.2,1,3.44,US,1619840584
207,urusha,54.05,122.9,47,47.43,98,4.34,RU,1619840584
208,ponta do sol,38.7333,-28.2667,75,54.75,100,6.02,PT,1619840585
209,west bay,31.8024,-97.0917,100,69.8,90,5.75,US,1619840585
210,talnakh,69.4865,88.3972,75,30.6,10,0.63,RU,1619840585
211,belyy yar,55.8402,32.9419,88,38.28,99,5.46,RU,1619840586
212,sibolga,1.7427,98.7792,63,85.98,92,3.94,ID,1619840453
213,goianesia,-15.3175,-49.1175,88,68.85,100,3.47,BR,1619840586
214,kaeo,-35.1,173.7833,68,68.0,16,5.01,NZ,1619840586
215,saint-pierre,-21.3393,55.4781,73,75.2,0,9.53,RE,1619840587
216,samana,19.2056,-69.3369,87,74.44,11,6.91,DO,1619840587
217,geraldton,-28.7667,114.6,28,69.8,90,11.5,AU,1619840406
218,sakakah,29.9697,40.2064,17,75.2,0,9.22,SA,1619840588
219,kolomak,49.8399,35.3044,82,54.45,90,6.58,UA,1619840588
220,krasnoselkup,65.7,82.4667,100,33.6,100,12.26,RU,1619840588
221,bud,39.447,-86.1758,72,46.0,6,3.65,US,1619840589
222,tasiilaq,65.6145,-37.6368,93,26.6,40,5.75,GL,1619840589
223,oranjestad,12.524,-70.027,78,80.6,20,11.5,AW,1619840589
224,vao,-22.6667,167.4833,74,74.28,100,25.08,NC,1619840590
225,kathu,7.9178,98.3332,83,82.4,20,4.61,TH,1619840590
226,marzuq,14.4,46.4667,58,74.75,96,2.19,YE,1619840590
227,fenoarivo,-18.933,47.4354,94,62.6,75,6.91,MG,1619840590
228,tubuala,9.5167,-79.0333,88,77.0,75,3.44,PA,1619840591
229,kismayo,-0.3582,42.5454,75,82.31,23,8.48,SO,1619840305
230,narsaq,60.9167,-46.05,31,48.2,75,28.77,GL,1619840383
231,leeton,-34.5667,146.4,33,81.0,8,5.75,AU,1619840591
232,asau,46.4333,26.4,55,54.0,99,3.42,RO,1619840592
233,nova lima,-5.5279,-46.7049,95,70.39,100,0.74,BR,1619840592
234,arlit,18.7369,7.3853,6,81.82,0,5.44,NE,1619840592
235,palauig,15.435,119.9045,67,85.87,53,9.37,PH,1619840593
236,moose factory,43.6558,-110.7183,34,64.4,1,18.41,US,1619840593
237,murchison,-41.8,172.3333,60,60.48,7,2.59,NZ,1619840593
238,uyemskiy,64.4743,40.8524,100,32.0,75,4.47,RU,1619840594
239,mount isa,53.6597,-1.8537,93,37.99,18,3.11,GB,1619840594
240,tilichiki,60.4667,166.1,74,27.93,1,12.97,RU,1619840594
241,port blair,-7.0349,29.7638,82,71.11,100,3.51,CD,1619840595
242,flinders,-34.5833,150.8552,73,73.99,15,5.99,AU,1619840408
243,talcahuano,-36.7167,-73.1167,94,57.2,90,16.11,CL,1619840595
244,meridian,43.6121,-116.3915,27,75.2,20,5.75,US,1619840596
245,luena,-11.7833,19.9167,95,59.32,66,2.77,AO,1619840596
246,hasaki,35.7333,140.8333,43,75.0,75,9.22,JP,1619840596
247,komsomolskiy,40.4272,71.7189,49,68.0,58,9.22,UZ,1619840596
248,igboho,8.8333,3.75,85,74.39,90,7.81,NG,1619840597
249,garca,-22.2106,-49.6561,78,63.0,100,11.01,BR,1619840597
250,menongue,-14.6585,17.691,88,62.19,99,1.5,AO,1619840597
251,waipawa,-41.4122,175.5153,67,55.99,53,14.97,NZ,1619840598
252,leningradskiy,69.3833,178.4167,92,19.83,100,22.3,RU,1619840439
253,lochem,52.1592,6.4111,93,45.0,20,4.61,NL,1619840598
254,lampang,18.3333,99.5,70,84.2,40,2.3,TH,1619840599
255,coruripe,-10.1256,-36.1756,85,76.33,95,9.66,BR,1619840599
256,maceio,-9.6658,-35.7353,88,77.0,40,4.61,BR,1619840599
257,suchiapa,16.6167,-93.0833,83,75.2,75,4.61,MX,1619840600
258,rupert,42.6191,-113.6772,28,71.6,1,8.05,US,1619840600
259,jalu,29.0331,21.5482,15,81.01,0,10.8,LY,1619840600
260,axim,4.8699,-2.2405,79,80.85,100,5.68,GH,1619840601
261,harnosand,62.6323,17.9379,69,33.01,25,8.05,SE,1619840601
262,verkhoyansk,67.5447,133.385,90,33.91,89,1.52,RU,1619840601
263,marawi,7.9986,124.2928,77,84.99,97,7.0,PH,1619840602
264,nishihara,26.1842,127.7558,83,82.4,75,9.22,JP,1619840602
265,kapuskasing,49.4169,-82.4331,74,30.2,26,2.3,CA,1619840602
266,iqaluit,63.7506,-68.5145,75,35.6,90,13.8,CA,1619840603
267,bubaque,11.2833,-15.8333,68,79.11,20,13.42,GW,1619840603
268,hovd,48.0056,91.6419,16,72.01,100,29.64,MN,1619840574
269,cabo san lucas,-8.2833,-35.0333,83,75.2,40,10.36,BR,1619840603
270,vostok,46.4856,135.8833,28,55.31,1,10.38,RU,1619840604
271,vitim,59.4511,112.5578,74,44.22,100,5.23,RU,1619840566
272,verkhnevilyuysk,63.4453,120.3167,79,41.58,98,9.4,RU,1619840604
273,jatiroto,-7.8833,111.1167,66,85.23,80,0.11,ID,1619840605
274,kilindoni,-7.9139,39.6668,82,79.21,99,9.46,TZ,1619840605
275,olinda,-8.0089,-34.8553,83,75.2,40,10.36,BR,1619840605
